service,action,description,access_level,resource_types,condition_keys,dependent_actions,service_action_combined
codeguru-profiler,DescribeProfilingGroup,Grants permission to describe a profiling group,Read,ProfilingGroup*,,,codeguru-profiler:DescribeProfilingGroup
codeguru-profiler,GetFindingsReportAccountSummary,Grants permission to get a summary of recent recommendations for each profiling group in the account,Read,,,,codeguru-profiler:GetFindingsReportAccountSummary
codeguru-profiler,GetNotificationConfiguration,Grants permission to get the notification configuration,Read,ProfilingGroup*,,,codeguru-profiler:GetNotificationConfiguration
codeguru-profiler,GetPolicy,Grants permission to get the resource policy associated with the specified Profiling Group,Read,ProfilingGroup*,,,codeguru-profiler:GetPolicy
codeguru-profiler,GetProfile,Grants permission to get aggregated profiles for a specific profiling group,Read,ProfilingGroup*,,,codeguru-profiler:GetProfile
codeguru-profiler,GetRecommendations,Grants permission to get recommendations,Read,ProfilingGroup*,,,codeguru-profiler:GetRecommendations
codeguru-profiler,ListFindingsReports,Grants permission to list the available recommendations reports for a specific profiling group,List,ProfilingGroup*,,,codeguru-profiler:ListFindingsReports
codeguru-profiler,ListProfileTimes,Grants permission to list the start times of the available aggregated profiles for a specific profiling group,List,ProfilingGroup*,,,codeguru-profiler:ListProfileTimes
codeguru-profiler,ListProfilingGroups,Grants permission to list profiling groups in the account,List,,,,codeguru-profiler:ListProfilingGroups
codeguru-profiler,ListTagsForResource,Grants permission to list tags for a Profiling Group,List,ProfilingGroup*,,,codeguru-profiler:ListTagsForResource
codeguru-profiler,PostAgentProfile,Grants permission to submit a profile collected by an agent belonging to a specific profiling group for aggregation,Write,ProfilingGroup*,,,codeguru-profiler:PostAgentProfile
codeguru-profiler,PutPermission,Grants permission to update the list of principals allowed for an action group in the resource policy associated with the specified Profiling Group,Permissions management,ProfilingGroup*,,,codeguru-profiler:PutPermission
codeguru-profiler,RemoveNotificationChannel,Grants permission to delete an already configured SNStopic arn from the notification configuration,Write,ProfilingGroup*,,,codeguru-profiler:RemoveNotificationChannel
codeguru-profiler,RemovePermission,Grants permission to remove the permission of specified Action Group from the resource policy associated with the specified Profiling Group,Permissions management,ProfilingGroup*,,,codeguru-profiler:RemovePermission
codeguru-profiler,SubmitFeedback,Grants permission to submit user feedback for useful or non useful anomaly,Write,ProfilingGroup*,,,codeguru-profiler:SubmitFeedback
codeguru-profiler,TagResource,Grants permission to add or overwrite tags to a Profiling Group,Tagging,ProfilingGroup*,,,codeguru-profiler:TagResource
codeguru-profiler,UntagResource,Grants permission to remove tags from a Profiling Group,Tagging,ProfilingGroup*,,,codeguru-profiler:UntagResource
codeguru-profiler,UpdateProfilingGroup,Grants permission to update a specific profiling group,Write,ProfilingGroup*,,,codeguru-profiler:UpdateProfilingGroup
codeguru-reviewer,AssociateRepository,Grants permission to associates a repository with Amazon CodeGuru Reviewer,Write,,aws:RequestTag/${TagKey}aws:TagKeys,codecommit:GetRepository                                                            codecommit:ListRepositories                                                            codecommit:TagResource                                                            codestar-connections:PassConnection                                                            events:PutRule                                                            events:PutTargets                                                            iam:CreateServiceLinkedRole                                                            s3:CreateBucket                                                            s3:ListBucket                                                            s3:PutBucketPolicy                                                            s3:PutLifecycleConfiguration,codeguru-reviewer:AssociateRepository
codeguru-reviewer,CreateCodeReview,Grants permission to create a code review,Write,association*,,s3:GetObject,codeguru-reviewer:CreateCodeReview
codeguru-reviewer,CreateConnectionToken,Grants permission to perform webbased oauth handshake for 3rd party providers,Read,,,,codeguru-reviewer:CreateConnectionToken
codeguru-reviewer,DescribeCodeReview,Grants permission to describe a code review,Read,association*,,,codeguru-reviewer:DescribeCodeReview
codeguru-reviewer,DescribeRecommendationFeedback,Grants permission to describe a recommendation feedback on a code review,Read,association*,,,codeguru-reviewer:DescribeRecommendationFeedback
codeguru-reviewer,DescribeRepositoryAssociation,Grants permission to describe a repository association,Read,association*,,,codeguru-reviewer:DescribeRepositoryAssociation
codeguru-reviewer,DisassociateRepository,Grants permission to disassociate a repository with Amazon CodeGuru Reviewer,Write,association*,,codecommit:UntagResource                                                            events:DeleteRule                                                            events:RemoveTargets,codeguru-reviewer:DisassociateRepository
codeguru-reviewer,GetMetricsData,Grants permission to view pull request metrics in console,Read,,,,codeguru-reviewer:GetMetricsData
codeguru-reviewer,ListCodeReviews,Grants permission to list summary of code reviews,List,,,,codeguru-reviewer:ListCodeReviews
codeguru-reviewer,ListRecommendationFeedback,Grants permission to list summary of recommendation feedback on a code review,List,association*,,,codeguru-reviewer:ListRecommendationFeedback
codeguru-reviewer,ListRecommendations,Grants permission to list summary of recommendations on a code review,List,association*,,,codeguru-reviewer:ListRecommendations
codeguru-reviewer,ListRepositoryAssociations,Grants permission to list summary of repository associations,List,,,,codeguru-reviewer:ListRepositoryAssociations
codeguru-reviewer,ListTagsForResource,Grants permission to list the resource attached to a associated repository ARN,List,association*,,,codeguru-reviewer:ListTagsForResource
codeguru-reviewer,ListThirdPartyRepositories,Grants permission to list 3rd party providers repositories in console,Read,,,,codeguru-reviewer:ListThirdPartyRepositories
codeguru-reviewer,PutRecommendationFeedback,Grants permission to put feedback for a recommendation on a code review,Write,association*,,,codeguru-reviewer:PutRecommendationFeedback
codeguru-reviewer,TagResource,Grants permission to attach resource tags to an associated repository ARN,Tagging,association*,,,codeguru-reviewer:TagResource
codeguru-reviewer,UnTagResource,Grants permission to disassociate resource tags from an associated repository ARN,Tagging,association*,,,codeguru-reviewer:UnTagResource
codepipeline,AcknowledgeJob,Grants permission to view information about a specified job and whether that job has been received by the job worker,Write,,,,codepipeline:AcknowledgeJob
codepipeline,AcknowledgeThirdPartyJob,Grants permission to confirm that a job worker has received the specified job (partner actions only),Write,,,,codepipeline:AcknowledgeThirdPartyJob
codepipeline,CreateCustomActionType,Grants permission to create a custom action that you can use in the pipelines associated with your AWS account,Write,actiontype*,,,codepipeline:CreateCustomActionType
codepipeline,CreatePipeline,Grants permission to create a uniquely named pipeline,Write,pipeline*,,,codepipeline:CreatePipeline
codepipeline,DeleteCustomActionType,Grants permission to delete a custom action,Write,actiontype*,,,codepipeline:DeleteCustomActionType
codepipeline,DeletePipeline,Grants permission to delete a specified pipeline,Write,pipeline*,,,codepipeline:DeletePipeline
codepipeline,DeleteWebhook,Grants permission to delete a specified webhook,Write,webhook*,,,codepipeline:DeleteWebhook
codepipeline,DeregisterWebhookWithThirdParty,Grants permission to remove the registration of a webhook with the third party specified in its configuration,Write,webhook*,,,codepipeline:DeregisterWebhookWithThirdParty
codepipeline,DisableStageTransition,Grants permission to prevent revisions from transitioning to the next stage in a pipeline,Write,stage*,,,codepipeline:DisableStageTransition
codepipeline,EnableStageTransition,Grants permission to allow revisions to transition to the next stage in a pipeline,Write,stage*,,,codepipeline:EnableStageTransition
codepipeline,GetActionType,Grants permission to view information about an action type,Read,,,,codepipeline:GetActionType
codepipeline,GetJobDetails,Grants permission to view information about a job (custom actions only),Read,,,,codepipeline:GetJobDetails
codepipeline,GetPipeline,Grants permission to retrieve information about a pipeline structure,Read,pipeline*,,,codepipeline:GetPipeline
codepipeline,GetPipelineExecution,"Grants permission to view information about an execution of a pipeline, including details about artifacts, the pipeline execution ID, and the name, version, and status of the pipeline",Read,pipeline*,,,codepipeline:GetPipelineExecution
codepipeline,GetPipelineState,Grants permission to view information about the current state of the stages and actions of a pipeline,Read,pipeline*,,,codepipeline:GetPipelineState
codepipeline,GetThirdPartyJobDetails,Grants permission to view the details of a job for a third-party action (partner actions only),Read,,,,codepipeline:GetThirdPartyJobDetails
codepipeline,ListActionExecutions,Grants permission to list the action executions that have occurred in a pipeline,Read,pipeline*,,,codepipeline:ListActionExecutions
codepipeline,ListActionTypes,Grants permission to list a summary of all the action types available for pipelines in your account,Read,,,,codepipeline:ListActionTypes
codepipeline,ListPipelineExecutions,Grants permission to list a summary of the most recent executions for a pipeline,List,pipeline*,,,codepipeline:ListPipelineExecutions
codepipeline,ListPipelines,Grants permission to list a summary of all the pipelines associated with your AWS account,List,,,,codepipeline:ListPipelines
codepipeline,ListTagsForResource,Grants permission to list tags for a CodePipeline resource,Read,actiontype,,,codepipeline:ListTagsForResource
codepipeline,ListWebhooks,Grants permission to list all of the webhooks associated with your AWS account,List,webhook*,,,codepipeline:ListWebhooks
codepipeline,PollForJobs,Grants permission to view information about any jobs for CodePipeline to act on,Write,actiontype*,,,codepipeline:PollForJobs
codepipeline,PollForThirdPartyJobs,Grants permission to determine whether there are any third-party jobs for a job worker to act on (partner actions only),Write,,,,codepipeline:PollForThirdPartyJobs
codepipeline,PutActionRevision,Grants permission to edit actions in a pipeline,Write,action*,,,codepipeline:PutActionRevision
codepipeline,PutApprovalResult,Grants permission to provide a response (Approved or Rejected) to a manual approval request in CodePipeline,Write,action*,,,codepipeline:PutApprovalResult
codepipeline,PutJobFailureResult,Grants permission to represent the failure of a job as returned to the pipeline by a job worker (custom actions only),Write,,,,codepipeline:PutJobFailureResult
codepipeline,PutJobSuccessResult,Grants permission to represent the success of a job as returned to the pipeline by a job worker (custom actions only),Write,,,,codepipeline:PutJobSuccessResult
codepipeline,PutThirdPartyJobFailureResult,Grants permission to represent the failure of a third-party job as returned to the pipeline by a job worker (partner actions only),Write,,,,codepipeline:PutThirdPartyJobFailureResult
codepipeline,PutThirdPartyJobSuccessResult,Grants permission to represent the success of a third-party job as returned to the pipeline by a job worker (partner actions only),Write,,,,codepipeline:PutThirdPartyJobSuccessResult
codepipeline,PutWebhook,Grants permission to create or update a webhook,Write,pipeline*,,,codepipeline:PutWebhook
codepipeline,RegisterWebhookWithThirdParty,Grants permission to register a webhook with the third party specified in its configuration,Write,webhook*,,,codepipeline:RegisterWebhookWithThirdParty
codepipeline,RetryStageExecution,Grants permission to resume the pipeline execution by retrying the last failed actions in a stage,Write,stage*,,,codepipeline:RetryStageExecution
codepipeline,StartPipelineExecution,Grants permission to run the most recent revision through the pipeline,Write,pipeline*,,,codepipeline:StartPipelineExecution
codepipeline,StopPipelineExecution,Grants permission to stop an in-progress pipeline execution,Write,pipeline*,,,codepipeline:StopPipelineExecution
codepipeline,TagResource,Grants permission to tag a CodePipeline resource,Tagging,actiontype,,,codepipeline:TagResource
codepipeline,UntagResource,Grants permission to remove a tag from a CodePipeline resource,Tagging,actiontype,,,codepipeline:UntagResource
codepipeline,UpdateActionType,Grants permission to update an action type,Write,actiontype*,,,codepipeline:UpdateActionType
codepipeline,UpdatePipeline,Grants permission to update a pipeline with changes to the structure of the pipeline,Write,pipeline*,,,codepipeline:UpdatePipeline
codestar,AssociateTeamMember,Grants permission to add a user to the team for an AWS CodeStar project,Permissions management,project*,,,codestar:AssociateTeamMember
codestar,CreateProject,"Grants permission to create a project with minimal structure, customer policies, and no resources",Permissions management,,aws:RequestTag/${TagKey}aws:TagKeys,,codestar:CreateProject
codestar,CreateUserProfile,"Grants permission to create a profile for a user that includes user preferences, display name, and email",Write,user*,,,codestar:CreateUserProfile
codestar,DeleteExtendedAccess,Grants permission to extended delete APIs,Write,project*,,,codestar:DeleteExtendedAccess
codestar,DeleteProject,"Grants permission to delete a project, including project resources. Does not delete users associated with the project, but does delete the IAM roles that allowed access to the project",Permissions management,project*,,,codestar:DeleteProject
codestar,DeleteUserProfile,"Grants permission to delete a user profile in AWS CodeStar, including all personal preference data associated with that profile, such as display name and email address. It does not delete the history of that user, for example the history of commits made by that user",Write,user*,,,codestar:DeleteUserProfile
codestar,DescribeProject,Grants permission to describe a project and its resources,Read,project*,,,codestar:DescribeProject
codestar,DescribeUserProfile,Grants permission to describe a user in AWS CodeStar and the user attributes across all projects,Read,,,,codestar:DescribeUserProfile
codestar,DisassociateTeamMember,Grants permission to remove a user from a project. Removing a user from a project also removes the IAM policies from that user that allowed access to the project and its resources,Permissions management,project*,,,codestar:DisassociateTeamMember
codestar,GetExtendedAccess,Grants permission to extended read APIs,Read,project*,,,codestar:GetExtendedAccess
codestar,ListProjects,Grants permission to list all projects in CodeStar associated with your AWS account,List,,,,codestar:ListProjects
codestar,ListResources,Grants permission to list all resources associated with a project in CodeStar,List,project*,,,codestar:ListResources
codestar,ListTagsForProject,Grants permission to list the tags associated with a project in CodeStar,List,project*,,,codestar:ListTagsForProject
codestar,ListTeamMembers,Grants permission to list all team members associated with a project,List,project*,,,codestar:ListTeamMembers
codestar,ListUserProfiles,Grants permission to list user profiles in AWS CodeStar,List,,,,codestar:ListUserProfiles
codestar,PutExtendedAccess,Grants permission to extended write APIs,Write,project*,,,codestar:PutExtendedAccess
codestar,TagProject,Grants permission to add tags to a project in CodeStar,Tagging,project*,,,codestar:TagProject
codestar,UntagProject,Grants permission to remove tags from a project in CodeStar,Tagging,project*,,,codestar:UntagProject
codestar,UpdateProject,Grants permission to update a project in CodeStar,Write,project*,,,codestar:UpdateProject
codestar,UpdateTeamMember,Grants permission to update team member attributes within a CodeStar project,Permissions management,project*,,,codestar:UpdateTeamMember
codestar,UpdateUserProfile,"Grants permission to update a profile for a user that includes user preferences, display name, and email",Write,user*,,,codestar:UpdateUserProfile
codestar,VerifyServiceRole,Grants permission to verify whether the AWS CodeStar service role exists in the customer's account,List,,,,codestar:VerifyServiceRole
codestar-connections,CreateConnection,Grants permission to create a Connection resource,Write,,aws:RequestTag/${TagKey}aws:TagKeyscodestar-connections:ProviderType,,codestar-connections:CreateConnection
codestar-connections,CreateHost,Grants permission to create a host resource,Write,,aws:RequestTag/${TagKey}aws:TagKeyscodestar-connections:ProviderType,,codestar-connections:CreateHost
codestar-connections,DeleteConnection,Grants permission to delete a Connection resource,Write,Connection*,,,codestar-connections:DeleteConnection
codestar-connections,DeleteHost,Grants permission to delete a host resource,Write,Host*,,,codestar-connections:DeleteHost
codestar-connections,GetConnection,Grants permission to get details about a Connection resource,Read,Connection*,,,codestar-connections:GetConnection
codestar-connections,GetHost,Grants permission to get details about a host resource,Read,Host*,,,codestar-connections:GetHost
codestar-connections,GetIndividualAccessToken,"Grants permission to associate a third party, such as a Bitbucket App installation, with a Connection",Read,,codestar-connections:ProviderType,codestar-connections:StartOAuthHandshake,codestar-connections:GetIndividualAccessToken
codestar-connections,GetInstallationUrl,"Grants permission to associate a third party, such as a Bitbucket App installation, with a Connection",Read,,codestar-connections:ProviderType,,codestar-connections:GetInstallationUrl
codestar-connections,ListConnections,Grants permission to list Connection resources,List,,codestar-connections:ProviderTypeFilter,,codestar-connections:ListConnections
codestar-connections,ListHosts,Grants permission to list host resources,List,,codestar-connections:ProviderTypeFilter,,codestar-connections:ListHosts
codestar-connections,ListInstallationTargets,"Grants permission to associate a third party, such as a Bitbucket App installation, with a Connection",List,,,codestar-connections:GetIndividualAccessToken                                                            codestar-connections:StartOAuthHandshake,codestar-connections:ListInstallationTargets
codestar-connections,ListTagsForResource,Gets the set of key-value pairs that are used to manage the resource,List,Connection*,,,codestar-connections:ListTagsForResource
codestar-connections,PassConnection,"Grants permission to pass a Connection resource to an AWS service that accepts a Connection ARN as input, such as codepipeline:CreatePipeline",Read,Connection*,,,codestar-connections:PassConnection
codestar-connections,RegisterAppCode,"Grants permission to associate a third party server, such as a GitHub Enterprise Server instance, with a Host",Read,,codestar-connections:HostArn,,codestar-connections:RegisterAppCode
codestar-connections,StartAppRegistrationHandshake,"Grants permission to associate a third party server, such as a GitHub Enterprise Server instance, with a Host",Read,,codestar-connections:HostArn,,codestar-connections:StartAppRegistrationHandshake
codestar-connections,StartOAuthHandshake,"Grants permission to associate a third party, such as a Bitbucket App installation, with a Connection",Read,,codestar-connections:ProviderType,,codestar-connections:StartOAuthHandshake
codestar-connections,TagResource,Adds to or modifies the tags of the given resource,Tagging,Connection*,,,codestar-connections:TagResource
codestar-connections,UntagResource,Removes tags from an AWS resource,Tagging,Connection*,,,codestar-connections:UntagResource
codestar-connections,UpdateConnectionInstallation,Grants permission to update a Connection resource with an installation of the CodeStar Connections App,Write,Connection*,,codestar-connections:GetIndividualAccessToken                                                            codestar-connections:GetInstallationUrl                                                            codestar-connections:ListInstallationTargets                                                            codestar-connections:StartOAuthHandshake,codestar-connections:UpdateConnectionInstallation
codestar-connections,UpdateHost,Grants permission to update a host resource,Write,Host*,,,codestar-connections:UpdateHost
codestar-connections,UseConnection,Grants permission to use a Connection resource to call provider actions,Read,Connection*,,,codestar-connections:UseConnection
codestar-notifications,CreateNotificationRule,Grants permission to create a notification rule for a resource,Write,notificationrule*,,,codestar-notifications:CreateNotificationRule
codestar-notifications,DeleteNotificationRule,Grants permission to delete a notification rule for a resource,Write,notificationrule*,,,codestar-notifications:DeleteNotificationRule
codestar-notifications,DeleteTarget,Grants permission to delete a target for a notification rule,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,codestar-notifications:DeleteTarget
codestar-notifications,DescribeNotificationRule,Grants permission to get information about a notification rule,Read,notificationrule*,,,codestar-notifications:DescribeNotificationRule
codestar-notifications,ListEventTypes,Grants permission to list notifications event types,List,,,,codestar-notifications:ListEventTypes
codestar-notifications,ListNotificationRules,Grants permission to list notification rules in an AWS account,List,,,,codestar-notifications:ListNotificationRules
codestar-notifications,ListTagsForResource,Grants permission to list the tags attached to a notification rule resource ARN,List,notificationrule*,,,codestar-notifications:ListTagsForResource
codestar-notifications,ListTargets,Grants permission to list the notification rule targets for an AWS account,List,,aws:RequestTag/${TagKey}aws:TagKeys,,codestar-notifications:ListTargets
codestar-notifications,Subscribe,Grants permission to create an association between a notification rule and an Amazon SNS topic,Write,notificationrule*,,,codestar-notifications:Subscribe
codestar-notifications,TagResource,Grants permission to attach resource tags to a notification rule resource ARN,Tagging,notificationrule*,,,codestar-notifications:TagResource
codestar-notifications,Unsubscribe,Grants permission to remove an association between a notification rule and an Amazon SNS topic,Write,notificationrule*,,,codestar-notifications:Unsubscribe
codestar-notifications,UntagResource,Grants permission to disassociate resource tags from a notification rule resource ARN,Tagging,notificationrule*,,,codestar-notifications:UntagResource
codestar-notifications,UpdateNotificationRule,Grants permission to change a notification rule for a resource,Write,notificationrule*,,,codestar-notifications:UpdateNotificationRule
codewhisperer,CreateProfile,Grants permission to invoke CreateProfile on CodeWhisperer,Write,profile*,,,codewhisperer:CreateProfile
codewhisperer,GenerateRecommendations,Grants permission to invoke GenerateRecommendations on CodeWhisperer,Read,,,,codewhisperer:GenerateRecommendations
codewhisperer,ListProfiles,Grants permission to invoke ListProfiles on CodeWhisperer,List,,,,codewhisperer:ListProfiles
codewhisperer,UpdateProfile,Grants permission to invoke UpdateProfile on CodeWhisperer,Write,profile*,,,codewhisperer:UpdateProfile
cognito-identity,CreateIdentityPool,Grants permission to create a new identity pool,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,cognito-identity:CreateIdentityPool
cognito-identity,DeleteIdentities,Grants permission to delete identities from an identity pool. You can specify a list of 1-60 identities that you want to delete,Write,,,,cognito-identity:DeleteIdentities
cognito-identity,DeleteIdentityPool,"Grants permission to delete a user pool. Once a pool is deleted, users will not be able to authenticate with the pool",Write,identitypool*,,,cognito-identity:DeleteIdentityPool
cognito-identity,DescribeIdentity,"Grants permission to return metadata related to the given identity, including when the identity was created and any associated linked logins",Read,,,,cognito-identity:DescribeIdentity
cognito-identity,DescribeIdentityPool,"Grants permission to get details about a particular identity pool, including the pool name, ID description, creation date, and current number of users",Read,identitypool*,,,cognito-identity:DescribeIdentityPool
cognito-identity,GetCredentialsForIdentity,Grants permission to return credentials for the provided identity ID,Read,,,,cognito-identity:GetCredentialsForIdentity
cognito-identity,GetId,Grants permission to generate (or retrieve) a Cognito ID. Supplying multiple logins will create an implicit linked account,Write,,,,cognito-identity:GetId
cognito-identity,GetIdentityPoolRoles,Grants permission to get the roles for an identity pool,Read,identitypool*,,,cognito-identity:GetIdentityPoolRoles
cognito-identity,GetOpenIdToken,"Grants permission to get an OpenID token, using a known Cognito ID",Read,,,,cognito-identity:GetOpenIdToken
cognito-identity,GetOpenIdTokenForDeveloperIdentity,Grants permission to register (or retrieve) a Cognito IdentityId and an OpenID Connect token for a user authenticated by your backend authentication process,Read,identitypool*,,,cognito-identity:GetOpenIdTokenForDeveloperIdentity
cognito-identity,GetPrincipalTagAttributeMap,Grants permission to get the principal tags for an identity pool and provider,Read,identitypool*,,,cognito-identity:GetPrincipalTagAttributeMap
cognito-identity,ListIdentities,Grants permission to list the identities in an identity pool,List,identitypool*,,,cognito-identity:ListIdentities
cognito-identity,ListIdentityPools,Grants permission to list all of the Cognito identity pools registered for your account,List,,,,cognito-identity:ListIdentityPools
cognito-identity,ListTagsForResource,Grants permission to list the tags that are assigned to an Amazon Cognito identity pool,Read,identitypool,,,cognito-identity:ListTagsForResource
cognito-identity,LookupDeveloperIdentity,Grants permission to retrieve the IdentityId associated with a DeveloperUserIdentifier or the list of DeveloperUserIdentifiers associated with an IdentityId for an existing identity,Read,identitypool*,,,cognito-identity:LookupDeveloperIdentity
cognito-identity,MergeDeveloperIdentities,"Grants permission to merge two users having different IdentityIds, existing in the same identity pool, and identified by the same developer provider",Write,identitypool*,,,cognito-identity:MergeDeveloperIdentities
cognito-identity,SetIdentityPoolRoles,Grants permission to set the roles for an identity pool. These roles are used when making calls to GetCredentialsForIdentity action,Write,,,,cognito-identity:SetIdentityPoolRoles
cognito-identity,SetPrincipalTagAttributeMap,Grants permission to set the principal tags for an identity pool and provider. These tags are used when making calls to GetOpenIdToken action,Write,,,,cognito-identity:SetPrincipalTagAttributeMap
cognito-identity,TagResource,Grants permission to assign a set of tags to an Amazon Cognito identity pool,Tagging,identitypool,,,cognito-identity:TagResource
cognito-identity,UnlinkDeveloperIdentity,Grants permission to unlink a DeveloperUserIdentifier from an existing identity,Write,identitypool*,,,cognito-identity:UnlinkDeveloperIdentity
cognito-identity,UnlinkIdentity,Grants permission to unlink a federated identity from an existing account,Write,,,,cognito-identity:UnlinkIdentity
cognito-identity,UntagResource,Grants permission to remove the specified tags from an Amazon Cognito identity pool,Tagging,identitypool,,,cognito-identity:UntagResource
cognito-identity,UpdateIdentityPool,Grants permission to update an identity pool,Write,identitypool*,,,cognito-identity:UpdateIdentityPool
cognito-sync,BulkPublish,Grants permission to initiate a bulk publish of all existing datasets for an Identity Pool to the configured stream,Write,identitypool*,,,cognito-sync:BulkPublish
cognito-sync,DeleteDataset,Grants permission to delete a specific dataset,Write,dataset*,,,cognito-sync:DeleteDataset
cognito-sync,DescribeDataset,Grants permission to get metadata about a dataset by identity and dataset name,Read,dataset*,,,cognito-sync:DescribeDataset
cognito-sync,DescribeIdentityPoolUsage,"Grants permission to get usage details (for example, data storage) about a particular identity pool",Read,identitypool*,,,cognito-sync:DescribeIdentityPoolUsage
cognito-sync,DescribeIdentityUsage,"Grants permission to get usage information for an identity, including number of datasets and data usage",Read,identity*,,,cognito-sync:DescribeIdentityUsage
cognito-sync,GetBulkPublishDetails,Grants permission to get the status of the last BulkPublish operation for an identity pool,Read,identitypool*,,,cognito-sync:GetBulkPublishDetails
cognito-sync,GetCognitoEvents,Grants permission to get the events and the corresponding Lambda functions associated with an identity pool,Read,identitypool*,,,cognito-sync:GetCognitoEvents
cognito-sync,GetIdentityPoolConfiguration,Grants permission to get the configuration settings of an identity pool,Read,identitypool*,,,cognito-sync:GetIdentityPoolConfiguration
cognito-sync,ListDatasets,Grants permission to list datasets for an identity,List,dataset*,,,cognito-sync:ListDatasets
cognito-sync,ListIdentityPoolUsage,Grants permission to get a list of identity pools registered with Cognito,Read,identitypool*,,,cognito-sync:ListIdentityPoolUsage
cognito-sync,ListRecords,"Grants permission to get paginated records, optionally changed after a particular sync count for a dataset and identity",Read,dataset*,,,cognito-sync:ListRecords
cognito-sync,QueryRecords,Grants permission to query records,Read,,,,cognito-sync:QueryRecords
cognito-sync,RegisterDevice,Grants permission to register a device to receive push sync notifications,Write,identity*,,,cognito-sync:RegisterDevice
cognito-sync,SetCognitoEvents,Grants permission to set the AWS Lambda function for a given event type for an identity pool,Write,identitypool*,,,cognito-sync:SetCognitoEvents
cognito-sync,SetDatasetConfiguration,Grants permission to configure datasets,Write,dataset*,,,cognito-sync:SetDatasetConfiguration
cognito-sync,SetIdentityPoolConfiguration,Grants permission to set the necessary configuration for push sync,Write,identitypool*,,,cognito-sync:SetIdentityPoolConfiguration
cognito-sync,SubscribeToDataset,Grants permission to subscribe to receive notifications when a dataset is modified by another device,Write,dataset*,,,cognito-sync:SubscribeToDataset
cognito-sync,UnsubscribeFromDataset,Grants permission to unsubscribe from receiving notifications when a dataset is modified by another device,Write,dataset*,,,cognito-sync:UnsubscribeFromDataset
cognito-sync,UpdateRecords,Grants permission to post updates to records and add and delete records for a dataset and user,Write,dataset*,,,cognito-sync:UpdateRecords
cognito-idp,AddCustomAttributes,Grants permission to add user attributes to the user pool schema,Write,userpool*,,,cognito-idp:AddCustomAttributes
cognito-idp,AdminAddUserToGroup,Grants permission to add any user to any group,Write,userpool*,,,cognito-idp:AdminAddUserToGroup
cognito-idp,AdminConfirmSignUp,Grants permission to confirm any user's registration without a confirmation code,Write,userpool*,,,cognito-idp:AdminConfirmSignUp
cognito-idp,AdminCreateUser,Grants permission to create new users and send welcome messages via email or SMS,Write,userpool*,,,cognito-idp:AdminCreateUser
cognito-idp,AdminDeleteUser,Grants permission to delete any user,Write,userpool*,,,cognito-idp:AdminDeleteUser
cognito-idp,AdminDeleteUserAttributes,Grants permission to delete attributes from any user,Write,userpool*,,,cognito-idp:AdminDeleteUserAttributes
cognito-idp,AdminDisableProviderForUser,Grants permission to unlink any user pool user from a third-party identity provider (IdP) user,Write,userpool*,,,cognito-idp:AdminDisableProviderForUser
cognito-idp,AdminDisableUser,Grants permission to deactivate any user,Write,userpool*,,,cognito-idp:AdminDisableUser
cognito-idp,AdminEnableUser,Grants permission to activate any user,Write,userpool*,,,cognito-idp:AdminEnableUser
cognito-idp,AdminForgetDevice,Grants permission to deregister any user's devices,Write,userpool*,,,cognito-idp:AdminForgetDevice
cognito-idp,AdminGetDevice,Grants permission to get information about any user's devices,Read,userpool*,,,cognito-idp:AdminGetDevice
cognito-idp,AdminGetUser,Grants permission to look up any user by user name,Read,userpool*,,,cognito-idp:AdminGetUser
cognito-idp,AdminInitiateAuth,Grants permission to authenticate any user,Write,userpool*,,,cognito-idp:AdminInitiateAuth
cognito-idp,AdminLinkProviderForUser,Grants permission to link any user pool user to a third-party IdP user,Write,userpool*,,,cognito-idp:AdminLinkProviderForUser
cognito-idp,AdminListDevices,Grants permission to list any user's remembered devices,List,userpool*,,,cognito-idp:AdminListDevices
cognito-idp,AdminListGroupsForUser,Grants permission to list the groups that any user belongs to,List,userpool*,,,cognito-idp:AdminListGroupsForUser
cognito-idp,AdminListUserAuthEvents,Grants permission to lists sign-in events for any user,Read,userpool*,,,cognito-idp:AdminListUserAuthEvents
cognito-idp,AdminRemoveUserFromGroup,Grants permission to remove any user from any group,Write,userpool*,,,cognito-idp:AdminRemoveUserFromGroup
cognito-idp,AdminResetUserPassword,Grants permission to reset any user's password,Write,userpool*,,,cognito-idp:AdminResetUserPassword
cognito-idp,AdminRespondToAuthChallenge,Grants permission to respond to an authentication challenge during the authentication of any user,Write,userpool*,,,cognito-idp:AdminRespondToAuthChallenge
cognito-idp,AdminSetUserMFAPreference,Grants permission to set any user's preferred MFA method,Write,userpool*,,,cognito-idp:AdminSetUserMFAPreference
cognito-idp,AdminSetUserPassword,Grants permission to set any user's password,Write,userpool*,,,cognito-idp:AdminSetUserPassword
cognito-idp,AdminSetUserSettings,Grants permission to set user settings for any user,Write,userpool*,,,cognito-idp:AdminSetUserSettings
cognito-idp,AdminUpdateAuthEventFeedback,Grants permission to update advanced security feedback for any user's authentication event,Write,userpool*,,,cognito-idp:AdminUpdateAuthEventFeedback
cognito-idp,AdminUpdateDeviceStatus,Grants permission to update the status of any user's remembered devices,Write,userpool*,,,cognito-idp:AdminUpdateDeviceStatus
